timestep [],time [Myr],sac_1 [m],sac_2 [m],sac_3 [m]
172,0.0344,2.4863058105655718,3.6581283734698267,1.6859889092927203
173,0.0346,2.553173377008837,3.6774970740292794,1.6868385657818579
174,0.0348,2.5542182848180155,3.697412424556155,1.6876860035828443
175,0.035,2.618746086008186,3.6962934288493794,1.6885312144788953
176,0.0352,2.681851321383388,3.7143985697804514,1.6893884441424833
177,0.0354,2.7427811707426923,3.7133873305310194,1.690259546194699
178,0.0356,2.798534482229667,3.7128353123006685,1.691146303188927
179,0.0358,2.854060507663179,3.7120081602995105,1.7408407703616147
180,0.036,2.913767728289757,3.7111957712833044,1.789705599690159
181,0.0362,2.9745820318592235,3.710398070542181,1.8380271695227186
182,0.0364,2.972377205694661,3.7096202726120397,1.8425058671525831
183,0.0366,2.988228423158224,3.7098349614729424,1.843209220164853
184,0.0368,2.9861857570341805,3.7101012302633416,1.8439090668661025
185,0.037,2.98417397976118,3.7104202773477755,1.8446054415027964
186,0.0372,2.998921123151518,3.7097454944265986,1.8452983786866624
187,0.0374,3.0253059686528125,3.709450185850398,1.8459878984354718
188,0.0376,3.0410218868714898,3.7284135299252723,1.8466740361107046
189,0.0378,3.0585202734916814,3.7278018656824,1.847356823597654
190,0.038,3.0582564260354865,3.745707541964842,1.848036366374615
191,0.0382,3.0591865526526916,3.745134627905825,1.84871278866782
192,0.0384,3.0585761698276577,3.7627276919707318,1.850612778558989
193,0.0386,3.084833868150974,3.7815164760343762,1.8965194788655229
194,0.0388,3.0943488489357676,3.7987575468603048,1.9419666474642578
195,0.039,3.1218563797497807,3.798021805330871,1.9858467048161719
196,0.0392,3.121343535813211,3.8162462800920047,2.029520807535013
197,0.0394,3.1390882246077956,3.8165854524218594,2.072599806729188
198,0.0396,3.1430800579466163,3.835145918777237,2.115113718194385
199,0.0398,3.1477852450851205,3.83477345572689,2.15699497914993
200,0.04,3.2103010568448433,3.852257715744104,2.19755863229651
201,0.0402,3.2815407104954653,3.8696576138663987,2.197139374486509
202,0.0404,3.3515825938992356,3.8881085993201614,2.240368598444816
203,0.0406,3.4117208130089747,3.9064550393476183,2.2400059417266673
204,0.0408,3.411684304843601,3.906047200725738,2.239652377698807
205,0.041,3.4283121382753308,3.905337779728517,2.2774470310473585
206,0.0412,3.44403030466841,3.9058489183034824,2.3136636949586245
207,0.0414,3.443576643763081,3.924151893328501,2.349086986277945
208,0.0416,3.461084240674201,3.942283351702946,2.3480931951893074
209,0.0418,3.4598604775946784,3.9595229003713386,2.3471557452850558
210,0.042,3.458645933535674,3.977872622369504,2.346441720966165
211,0.0422,3.5226274289428283,3.9771651251909956,2.3876478152974268
212,0.0424,3.5838793564482514,3.9764739545267958,2.3869993463754002
